data_id,data_macaddr,data_vot,data_lat,data_lng,data_updated_time,data_created_time
1,aaeec755,582,0,0,NULL,2019/6/6 6:47
2,aaeec755,582,0,0,NULL,2019/6/6 6:47
3,aaeec755,582,0,0,NULL,2019/6/6 6:47
4,aaeec755,582,0,0,NULL,2019/6/6 6:47
5,aa560370,587,0,0,NULL,2019/6/6 6:54
6,aa560370,587,0,0,NULL,2019/6/6 6:54
7,aa560370,0,22.9764,120.2174,NULL,2019/6/6 6:57
8,aa560370,0,22.9764,120.2174,NULL,2019/6/6 6:57
9,aa560370,0,22.9764,120.2174,NULL,2019/6/6 6:58
10,aa560370,0,22.9764,120.2174,NULL,2019/6/6 6:58
11,aa560370,0,22.9764,120.2174,NULL,2019/6/6 6:58
12,aa560370,0,22.9764,120.2174,NULL,2019/6/6 6:58
13,aa560370,0,22.9764,120.2176,NULL,2019/6/6 6:59
14,aa560370,0,22.9764,120.2176,NULL,2019/6/6 6:59
15,aa560370,0,22.9764,120.2176,NULL,2019/6/6 6:59
16,aa560370,0,22.9764,120.2175,NULL,2019/6/6 7:00
17,aa560370,0,22.9764,120.2175,NULL,2019/6/6 7:00
18,aa560370,0,22.9765,120.2176,NULL,2019/6/6 7:01
19,aaeec755,585,0,0,NULL,2019/6/6 7:01
20,aaeec755,585,0,0,NULL,2019/6/6 7:01
21,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:01
22,aa560370,0,22.9763,120.2174,NULL,2019/6/6 7:01
23,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:03
24,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:04
25,aa560370,0,22.9764,120.2175,NULL,2019/6/6 7:04
26,aa560370,0,22.9764,120.2175,NULL,2019/6/6 7:04
27,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:05
28,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:05
29,aa1d3651,581,0,0,NULL,2019/6/6 7:06
30,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:06
31,aa1d3651,581,0,0,NULL,2019/6/6 7:06
32,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:06
33,aa1d3651,581,0,0,NULL,2019/6/6 7:06
34,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:07
35,aa1d3651,581,0,0,NULL,2019/6/6 7:07
36,aa1d3651,581,0,0,NULL,2019/6/6 7:07
37,aa1d3651,581,0,0,NULL,2019/6/6 7:07
38,aa1d3651,581,0,0,NULL,2019/6/6 7:07
39,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:07
40,aa1d3651,581,0,0,NULL,2019/6/6 7:07
41,aa1d3651,581,0,0,NULL,2019/6/6 7:08
42,aa560370,0,22.9763,120.2174,NULL,2019/6/6 7:08
43,aa1d3651,581,0,0,NULL,2019/6/6 7:08
44,aa1d3651,581,0,0,NULL,2019/6/6 7:08
45,aa560370,0,22.9764,120.2175,NULL,2019/6/6 7:08
46,aa1d3651,581,0,0,NULL,2019/6/6 7:08
47,aa560370,0,22.9763,120.2175,NULL,2019/6/6 7:09
48,aa1d3651,581,0,0,NULL,2019/6/6 7:09
49,aa560370,0,22.9762,120.2174,NULL,2019/6/6 7:09
50,aa1d3651,581,0,0,NULL,2019/6/6 7:09
51,aa1d3651,581,0,0,NULL,2019/6/6 7:09
52,aa560370,0,22.9762,120.2174,NULL,2019/6/6 7:09
53,aa1d3651,578,0,0,NULL,2019/6/6 7:10
54,aa1d3651,578,0,0,NULL,2019/6/6 7:10
55,aa560370,0,22.9762,120.2174,NULL,2019/6/6 7:10
